                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3101,                 1.2848,                0.97583,                 0.7316,                0.78458,                0.86245,                0.56664,                  1.254,                  1.149,                0.97001,             0.00036885,             0.00036885,             0.00036885
                     36,                 1.3303,                 1.3103,                0.98762,                0.77888,                0.70304,                 0.8619,                0.58136,                 1.2423,                 1.1311,                0.97518,             0.00036335,             0.00036335,             0.00036335
                     37,                 1.3066,                 1.2171,                0.96927,                0.80188,                0.68865,                0.87418,                  0.586,                 1.2253,                0.98333,                0.97606,             0.00035784,             0.00035784,             0.00035784
                     38,                 1.2955,                 1.2004,                0.97434,                0.80498,                0.70722,                 0.8945,                0.59236,                  1.205,                 0.9633,                0.96331,             0.00035234,             0.00035234,             0.00035234
                     39,                 1.3209,                  1.222,                0.97232,                0.82073,                  0.711,                0.88998,                0.59856,                  1.203,                0.99529,                0.96053,             0.00034683,             0.00034683,             0.00034683
                     40,                 1.2639,                  1.214,                0.96512,                0.62861,                0.87662,                0.85635,                0.52564,                 1.3345,                 1.0169,                0.98307,             0.00034133,             0.00034133,             0.00034133
                     41,                 1.3515,                 1.2544,                0.98331,                0.66041,                0.93393,                0.88404,                0.54427,                 1.3038,                0.98354,                0.97287,             0.00033582,             0.00033582,             0.00033582
                     42,                 1.3213,                 1.1611,                0.97512,                0.69975,                0.92061,                0.92469,                0.60241,                 1.2025,                0.96325,                0.95219,             0.00033032,             0.00033032,             0.00033032
                     43,                  1.307,                 1.1945,                0.96854,                0.70446,                0.90077,                0.92181,                0.60383,                 1.2356,                0.92202,                0.96123,             0.00032482,             0.00032482,             0.00032482
                     44,                 1.2897,                 1.1373,                0.96943,                0.71036,                0.89286,                0.88398,                0.59178,                  1.198,                0.89551,                0.95619,             0.00031931,             0.00031931,             0.00031931
                     45,                 1.2747,                 1.1199,                0.95215,                 0.7469,                0.84257,                 0.8865,                0.59887,                 1.2001,                 0.9699,                0.95475,             0.00031381,             0.00031381,             0.00031381
                     46,                 1.2893,                 1.1246,                 0.9701,                0.74351,                0.84188,                0.91055,                0.60571,                 1.2504,                 0.9099,                0.95005,              0.0003083,              0.0003083,              0.0003083
                     47,                 1.2866,                 1.1164,                 0.9706,                0.73512,                 0.8876,                0.93691,                0.59731,                 1.2456,                0.86725,                0.95247,              0.0003028,              0.0003028,              0.0003028
